№ п/п,раздел товара,группа товара,подкаталог,наименование,наименование короткое ,бренд,артикул,цена,короткое описание,объем,вес,количество,запах,кожа,цвет rgb, теги для поиска,Описание:,Состав:,Упаковка:,Способ применения:,С этим средством используют:,"Это средство необходимо для людей, у которых:",Это полезно знать:
,,,,,,,,,,,,,,,,,,,,,,,
1.,Ароматы (Франция) и средства для мужчин HYMM,,,,,,серо-розовый,,,,,,,,,,,,,,,,
,,* ароматы ,,,,,,,,,,,,,,,,,,,,,
,,,* для женщин,,,,,,,,,,,,,,,,,,,,
,,,,* Парфюмированная вода для женщин,,ANTICIPATE™ ,119003,"885,88",Т/вода,50 мл,,,"цикламен, личи, имбирь",,,"парфюмы, туалетная вода","Верхние ноты: цикламен, розовый перец, личи, зеленые аккорды, имбирь, бергамот
Средние ноты: жасмин, ландыш, иланг-иланг, роза, фиалка, тубероза, розовый перец
Нижние ноты: ирис, амбра, мускус, ваниль, ветивер
Чувственно женственный, мягкий цветочный аромат, охватывает верхние ноты цикламена, личи и зеленые аккорды, со смесью жасмина, розы и розового перца, приглашает вас в самое сердце аромата, закрывающегося нотами амбры, ванили и мускуса. 
Дуэт цикламена и личи ласкает чувства, окутывая своей невероятной мягкостью. Соблазнительная смесь ландыша с иланг-илангом приглашает вас в самое сердце этого аромата, где он покоряет амброй и пудровым ароматом мускуса. ",,,,,,
,,,,* Парфюмированная вода для женщин,,ANTICIPATE™ Intense,119004,"887,91",Т/вода,50 мл,,,,,,,"Верхние ноты: белая фрезия, персик, ежевика
Средние ноты: онцидиум, индийский жасмин, ландыш
Нижние ноты: сандаловое дерево, амбра, пачули, ваниль, мускус

Насыщенный восточный аромат, искрящийся нотками ежевики и свежестью белой фрезии, следом за которыми распускается обильное экзотическое цветение орхидеи онцидиума и индийского жасмина. Он манит нежной смесью сандала, пачули и ванили, теплая чувственность которых останется с вами надолго.
Подчеркните страстную сторону своей натуры этим насыщенным восточным букетом, в котором аромат душистой смородины и свежесть белой фрезии пробуждают интригующие нотки желания. Едва уловимый намек экзотического арабского жасмина и орхидеи манят и распаляют чувства, пока прикосновения сандалового дерева и пачули гипнотизируют и затрагивают в душе струнки дремлющей страсти. Вы погружаетесь в густую атмосферу знойной чувственности.
",,,,,,
,,,,* Парфюмированная вода для женщин,,WISTFUL™,119002,"875,95",Т/вода,50 мл,,,,,,,"Верхние ноты: лимон, розовый перец, малина, клюква, слива, клубника, элеми, лайм
Средние ноты: роза, жасмин, личи, ладан
Нижние ноты: белый мускус
Нежный фруктово-цветочный букет, который искрится нотками малины, клюквы и пикантного розового перца, смягченный ароматом розы, жасмина и личи и тонким запахом белого мускуса. Игривый, легкомысленный и одновременно прекрасный.
Заворожите чувства нотками лимона и малины с пикантным привкусом розового перца. Пробудите свое сердце звуками розы и личи, приглушенными отголоском белого мускуса, создавая игривое и поистине женственное настроение. Будьте воплощением загадочной женственности каждый день, всегда оставаясь немного МЕЧТАТЕЛЬНОЙ.
",,,,,,
,,,,* Парфюмированная вода для женщин,,WISTFUL™ № 1,119001,"875,95",Т/вода,50 мл,,,,,,,"Верхние ноты: гранат, фрезия, мандарин
Средние ноты: пион, цветок лотоса, магнолия
Нижние ноты: кокос, чувственный мускус, сухая древесина

Уникальный гармоничный и чувственный аромат сочетает в себе освежающие фруктовые ноты граната и пикантного мандарина, фрезии, а также изысканных цветов лотоса. Этот аромат оставит вас с чувством теплоты и спокойствия.
Композиция из граната и мандарина завораживает ваши чувства, пока пион и магнолия игриво перекликаются, заставляя вас расслабиться и насладиться их гармонией. Оттенок сухой древесины и изящный цветок лотоса дополняют этот букет, оставляя вам ощущение совершенства и вдохновляющей внутренней свободы.
",,,,,,
,,,,* Парфюмированная вода для женщин,,ANCESTRY™ in PARIS,118640,"963,32",Т/вода,50 мл,,,,,,,"Верхние ноты: свежий цветочный букет, зеленые листья, аккорд морского бриза
Средние ноты: ночной жасмин (роскошное эфирное масло-абсолют), мякоть персика, роза
Нижние ноты: амбра, белый мускус, тубероза

Аромат пробуждает волнующие образы и воплощает всю романтику французской столицы в одном флаконе, его содержимое непременно окутает вас волнующими чарами ночного Парижа! Этот гипнотический аромат переносит ваше воображение на холмы Монмартра, где вы оказываетесь один на один со звездным теплым летним небом. Впечатление от аромата усиливает роскошная упаковка – флакон в форме драгоценного камня цвета полуночного неба.
Букет свежих цветов в объятиях легкого морского бриза – словно нежное дыхание ветра на улицах Сите, пробуждает ваши чувства в самом сердце Парижа. Аромат персика переплетается с нотками ночного жасмина, нежная утонченность туберозы – с насыщенным белым мускусом, их загадочная изысканность волнует душу, когда вы пересекаете Сену по мосту Пон-Неф. Очарованные чувственностью и невероятной легкостью бытия, вы окутаны дымкой утонченной элегантности. 
Этот классически современный аромат отличается высокой концентрацией эфирных масел, что позволяет ему долго держаться на коже.
ANCESTRY in PARIS содержит чистейшее эфирное масло-абсолют ночного жасмина, которое идеально сочетается с букетом свежих цветов, зелеными листьями и чувственными полутонами белого мускуса и роз.
",,,,,,
,,,,* Парфюмированная вода для женщин,,ANCESTRY™,101842,"875,95",Т/вода,50 мл,,,,,,,"Верхние ноты: бергамот, смородина, лимон, апельсин, мандарин
Средние ноты: египетский жасмин, вытяжка из цветов апельсина, роза, персик, ландыш
Нижние ноты: сандаловое дерево, ваниль, белый мускус, кедр, амбра
Выразительный женственный аромат, пленяющий гармонией своих компонентов. Богатая оттенками формула уникальна благодаря изысканным природным компонентам, таким как бергамот, смородина, египетский жасмин и цвет апельсина. Идеально дополнит элегантный стиль и подчеркнет неповторимость и исключительность каждой женщины.
Смородина, лимон и бергамот гармонично сочетаются, обращаясь к вашим эмоциям нотками египетского жасмина и ландыша, чтобы вдохновить своей чувственностью, над которой время не властно. И наконец, в самом сердце этого аромата капля белого мускуса и амбры создают ауру истинной утонченности, – перед ее прихотливой красотой просто невозможно устоять. Изысканное свидетельство стиля, неподвластного времени.
",,,,,,
,,,,* Парфюмированная вода для женщин,,ARTISTRY FLORA CHIC™,119630,"1 480,68",Т/вода,50 мл,,,,,,,"Подобно прогулке легендарным парижским розарием парка Багатель, аромат искушает ваши чувства цитрусовыми нотами французского клементина и сладкой нежностью болгарской розы, которые оставляют после себя успокаивающие и расслабляющие нотки аромата мадагаскарского иланг-иланга. Цветочный, женственный, роскошно чарующий аромат очарует весь мир вокруг вас. 
Впечатление от аромата усиливает роскошная упаковка – красивый флакон ручной работы из розового стекла с золотистой крышечкой и лентой из шелка-сырца. Все в ней излучает высший уровень престижа, роскоши и женственности.
Парфюмированная вода обладает повышенной стойкостью, что позволит вам не растерять свое очарование в течении всего дня. 
Аромат разработан эксклюзивно крупнейшим в мире производителем парфюмерных композиций Givaudan (Швейцария), который разрабатывает ароматы «высокой парфюмерии» для ведущих мировых брендов. За плечами компании 250 лет искусной работы над самыми желанными во всем мире ароматами.
",,,,,,
,,,,* Спрей для тела,,WISTFUL™ AROMA,103704,"994,44",Т/вода,100 мл,,,,,,,"Верхние ноты: апельсин, лимонный аккорд, нектарин
Средние ноты: фрезия, роза, лотос
Нижние ноты: амбра, цветы апельсина, мускус
Освежающий спрей для тела с искрящимся коктейлем из лимончелло и нектарина, свежего букета цветов фрезии и лотоса, особенно нежную ноту которому придают цветы апельсина, просвечивающиеся на солнце. Обогащен витамином Е и глицерином, который смягчает и защищает кожу, оставляя ваше тело окутанным лучистым сиянием.
Красочная смесь лимона и нектарина пробуждает чувства искрами первозданной свежести; их дополняет букет фрезии и роз, подчеркнутый порошковым следом мускуса, который влечет за собой окунуться в мир безграничного наслаждения. Насладитесь этим изысканным стильным спреем для тела.
",,,,,,
,,,* для мужчин,,,,,,,,,,,,,,,,,,,,
,,,,* Туалетная вода для мужчин,,OPPORTUNE™ № 1,109449,"752,25",Т/вода,50 мл,,,,,,,"Верхние ноты: зеленый мандарин, туя, кардамон
Средние ноты: морские аккорды, сено, ревень
Нижние ноты: дуб, пачули, сандаловое дерево

Свежий древесный аромат даст вам ощущение таинственности и соблазна. Нежный зеленый мандарин, душистые кедровые листья и пряный кардамон, подчеркнутый морскими аккордами и запахом сена, придают аромату свежесть и мужскую харизму.
Смесь нежного зеленого мандарина, душистой кедровой хвои и пряного кардамона завораживает загадкой, ответ на которую лежит за пределами обыденности. В то же время ненавязчивые полутона ревеня и сена вплетаются в морской аккорд, дополненные изысканностью дубовой коры, и представляют собой соблазн, которому невозможно сопротивляться. 
",,,,,,
,,,,* Туалетная вода для мужчин,,OPPORTUNE™ PREMIUM,118641,"887,38",Т/вода,50 мл,,,,,,,"Верхние ноты: розовый перец, Jungle Essence, мандарин, арбуз
Средние ноты: сычуаньский перец, Jungle Essence, жасмин, лаванда
Нижние ноты: амбра, белая древесина, мускус, эфирное масло кедра
* Торговая марка V. MANE FILS, Société anonyme
Изысканная туалетная вода, созданная для современных мужчин, которые знают, что такое «премиум-класс». Содержит высококонцентрированные эфирные масла, благодаря чему аромат долго держится на коже и подойдет изысканным мужчинам. Впечатление от аромата усиливает роскошная упаковка – стильный флакон с изысканным металлическим отливом и сочетанием ледяного голубого стекла с теплым оранжевым шрифтом в совершенстве дополняют двойственную натуру самого аромата
Жар сычуаньского перца и терпкость мандарина, смягченные нашими парфюмерами ароматом жасмина и JUNGLE ESSENCETM*, чтобы достойно оттенить дерзкий дух кедра и белой древесины, которые наполняют этот парфюм изящной прохладой и озадачивают своей противоречивостью чувства. Дуализм огня и холода – благородное самообладание в сочетании с образованностью и утонченностью манер, – этот фужерный аромат такой мужественный, такой многоликий, такой аристократичный!
",,,,,,
,,,,* Туалетная вода для мужчин,,OPPORTUNE™ SPORT,103705,"806,81",Т/вода,50 мл,,,,,,,"Верхние ноты: бергамот, мандарин, боярышник
Средние ноты: герань, черный перец, розмарин
Нижние ноты: мускус, кедр, амбра
Динамичный аромат для мужчин просто взрывается энергичными цитрусовыми нотами со смесью специй – черного перца и боярышника, которые, раскрывшись в полной мере, усиливают вибрацию амбры в сочетании с мужественным ароматом кедра.
Сочетание черного перца и боярышника вдохновляет на свершения и подвиги, предлагая мощный заряд энергии. И только окунувшись в этот аромат с головой, вы почувствуете, как розмарин манит вас за собой вглубь, до основы из амбры и кедра, которые и придают этому парфюму его современный мужской характер. Сочетание энергии и свежести оставляет чувство воодушевления и расслабленной уверенности в себе.
",,,,,,
,,* средства для мужчин HYMM,,,,,,,,,,,,,,,,,,,,,
,,,* для бритья,,,,,,,,,,,,,,,,,,,,
,,,,* Гель для бритья,,HYMM™,119005,"184,15",Гель д/бритья,150 мл,,,,,,,"Бритье еще никогда не было таким безупречным. Благодаря своей полупрозрачной непенистой фактуре гель идеально подходит для того чтобы придать красивую форму бороде или для гладкого бритья, что обеспечивается за счет хорошей видимости участка для бритья. Гель протестирован дерматологами, подходит для всех типов кожи, в том числе для чувствительной.","экстракт семян фенхеля; разнообразные эфирные масла, которые отличаются свойствами успокаивать кожу; увлажняющие и смягчающие компоненты, которые воздействуют на щетинки и облегчают процесс бритья. ","флакон с крышкой, которую легко открывать и закрывать одной рукой.","нанесите небольшое количество геля величиной с 10-копеечную монету на участок, который собираетесь побрить. Если в процессе использования геля вам покажется, что для бритья вам требуется больше или меньше средства, скорректируйте его количество. Брейтесь как обычно, после бритья ополосните лицо теплой водой. Избегайте попадания средства в глаза. Если средство попало в глаза, немедленно промойте их большим количеством воды.","HYMM Бритва с 5-ю лезвиями (119627), HYMM Бальзам после бритья (119006)",,
,,,,* Гель-пена для бритья,,HYMM™,121206,"274,43",Пена д/бритья,200 мл,,,,,,,"Гель-пена была разработана для того, чтобы обеспечить мужчинам максимально комфортное бритье. При использовании гель преобразуется в густую пену, которая серьезно улучшает скольжение лезвия бритвы и одновременно работает как кондиционер для кожи, придавая ей приятный свежий аромат. Гель-пена протестирована дерматологами, подходит для всех типов кожи, в том числе для чувствительной.","помимо классических компонентов в состав геля входят дополнительные компоненты растительного происхождения – экстракт корня лакрицы, который отлично успокаивает кожу и предотвращает раздражение, экстракты алоэ вера и ромашки. Кроме этого в состав гель-пены входят поверхностно-активные вещества, которые смягчают щетину и дают возможность мужчинам комфортно побриться.",,"нанесите небольшое количество геля на чистый увлажненный участок кожи, который собираетесь побрить.  Брейтесь, плавно двигая лезвием по коже для более контактного и качественного бритья. После бритья смойте остатки средства для бритья теплой водой. Избегайте попадания гель-пены в глаза. Если средство все-таки попало в глаза, промойте их большим количеством воды.","HYMM Бритва с 5-ю лезвиями (119627), HYMM Бальзам после бритья (119006)",,
