№ п/п,раздел товара,группа товара,подкаталог,наименование,артикул,цена
,,,,,,
1.,Ароматы (Франция) и средства для мужчин HYMM,,,,серо-розовый,
,,* ароматы ,,,,
,,,* для женщин,,,
,,,,* ANTICIPATE  Парфюмированная вода для женщин 50 мл,119003,"843,70"
,,,,* ANTICIPATE  Intense Парфюмированная вода для женщин 50 мл,119004,"845,63"
,,,,* WISTFUL Парфюмированная вода для женщин 50 мл,119002,"834,23"
,,,,* WISTFUL №1  Парфюмированная вода для женщин 50 мл,119001,"834,23"
,,,,* ANCESTRY in PARIS Парфюмированная вода для женщин 50 мл,118640,"917,43"
,,,* для мужчин,,,
,,,,* OPPORTUNE №1  Туалетная вода для мужчин 50 мл,109449,"716,43"
,,,* универсальные,,,
,,,,"* ARTISTRY FLORA CHIC  Парфюмированная вода, 50 мл",119630,"1 480,68"
,,,,* OPPORTUNE PREMIUM  Талетная вода 50 мл,118641,"845,14"
,,,,* OPPORTUNE SPORT  Туалетная вода 50 мл,103705,"768,38"
,,,,* WISTFUL AROMA  Спрей для тела  100 мл,103704,"947,08"
,,,,,,
,,* средства для мужчие HYMM,,,,
,,,* для бритья,,,
,,,,* HYMM Гель для бритья 150 мл,119005,"206,34"
,,,,* HYMM Гель-пена для бритья 200 мл,121206,"261,37"
,,,,* HYMM Бальзам после бритья 100 мл,119006,"344,84"
,,,,* HYMM Бритва с 5-ю лезвиями 1 шт.,119627,"393,12"
,,,,* HYMM Сменные лезвия для бритвы 4 шт.,119628,"303,72"
,,,* для тела,,,
,,,,* HYMM 2-в-1 Шампунь и гель для душа 250 мл,119008,"160,91"
,,,,* HYMM Роликовый дезодорант 100 мл,119007,"211,29"
,,,,,,
,,* пробники,,,,
,,,,"* ARTISTRY IDEAL RADIANCE  Комплексная система, пробники 5 шт.",118899,"195,24"
,,,,,,
2.,"Уход за волосами, телом и полостью рта",,,,желто-золотистый,
,,* уход за полостью рта,,,,
,,,"* зубные пасты, освежители",,,
,,,,* glister Многофункциональная фтористая зубная паста 150 мл,6833,"133,87"
,,,,"* glister Зубная паста, дорожная упаковка 50 мл",1959,"59,11"
,,,,* glister Концентрированная жидкость для полоскания полости рта,9949,"244,70"
,,,* средства для читки,,,
,,,,* glister Универсальная зубная щетка,100957,"230,15"
,,,,* glister Зубные щетки для детей,9922,"202,40"
,,,,* glister Зубная нитка,0994,"89,25"
,,* уход за телом,,,,
,,,* для тела,,,
,,,,* BODY SERIES G&H Лосьон для тела,100268,"144,17"
,,,,* BODY SERIES ALLANO Лосьон для рук и тела,6863,"199,54"
,,,,* Премиум-спа коллекция,116813,"1 771,07"
,,,,* BODY SERIES™ Роликовый антиперспирант,2178,"171,04"
,,,,* BODY SERIES Дезодорант-антиперспирант спрей,2177,"166,92"
,,,,* BODY SERIES™ Прозрачный дезодорант-антиперспирант стик,100276,"236,74"
,,,,* BODY SERIES Увлажняющий лосьон для рук и тела,2175,"389,53"
,,,,* BODY SERIES G&H Гель для душа,100270,"130,12"
,,,,* BODY SERIES Освежающий гель для душа,2162,"219,36"
,,,,"* BODY SERIES Освежающий гель для душа, сменный пакет",2163,"499,88"
,,,,* BODY SERIES Мыло 3-в-1,2170,"393,29"
,,,,* BODY SERIES Дезодорированное мыло,8272,"371,41"
,,,,* BODY SERIES G&H Мыло для полного ухода за кожей,2181,"213,16"
,,,* для рук и ног,,,
,,,,* Крем для рук и ногтей с аргановым маслом и витамином Е,117522,"537,88"
,,,,* ARTISTRY Крем для рук с растительными экстрактами SPF 15,102205,"446,61"
,,,,* BODY SERIES™ Жидкое концентрированное мыло для рук,100100,"587,47"
,,,,* BODY SERIES Жидкое концентрированное мыло для рук,2171,"188,85"
,,,,,,
,,* уход за волосами,,,,
,,,* шампуни,,,
,,,,* SATINIQUE™ Шампунь для восстановления цвета волос,121424,"613,23"
,,,,* SATINIQUE™ Шампунь для восстановления цвета волос,110663,"269,42"
,,,,* SATINIQUE™ Шампунь для увеличения объема волос,121422,"548,59"
,,,,* SATINIQUE™ Шампунь для увеличения объема волос,110657,"240,95"
,,,,* SATINIQUE™ Шампунь против выпадения волос,110659,"269,42"
,,,,* SATINIQUE™ Шампунь против перхоти,110670,"269,42"
,,,,* SATINIQUE™ Шампунь-кондиционер 2-в-1,116510,"613,24"
,,,,* SATINIQUE™ Шампунь-кондиционер 2-в-1,115304,"269,42"
,,,,* SATINIQUE™ Увлажняющий шампунь для разглаживания волос,110656,"548,60"
,,,,* SATINIQUE™ Увлажняющий шампунь для разглаживания волос,110655,"240,95"
,,,"* кондиционеры, маски, бальзамы, др.",,,
,,,,* SATINIQUE™ Кондиционер для увеличения объема волос,121423,"581,74"
,,,,* SATINIQUE™ Кондиционер для увеличения объема волос,110667,"255,42"
,,,,* SATINIQUE™ Кондиционер для восстановления цвета волос,121425,"650,12"
,,,,* SATINIQUE™ Кондиционер для восстановления цвета волос,110671,"285,54"
,,,,* SATINIQUE™ Кондиционер против выпадения волос,116823,"285,54"
,,,,* SATINIQUE™ Увлажняющий кондиционер для разглаживания волос,110665,"581,74"
,,,,* SATINIQUE™ Увлажняющий кондиционер для разглаживания волос,110664,"255,42"
,,,,* SATINIQUE™ Восстанавливающая маска для волос,119593,"575,18"
,,,,* SATINIQUE™ Бальзам для выравнивания волос,110676,"352,11"
,,,,* SATINIQUE™ Сыворотка для волос на масляной основе,119785,"525,21"
,,,,* SATINIQUE™ Средство для восстановления волос ночью,110677,"406,04"
,,,,* SATINIQUE™ Тонизирующее средство для ухода за кожей головы,110686,"882,93"
,,,* для укладки,,,
,,,,* SATINIQUE™ Мусс для увеличения объема волос,119342,"214,31"
,,,,* SATINIQUE™ Крем-стайлинг для волос,114954,"352,11"
,,,,* SATINIQUE™ Воск для моделирования прически с матовым эффектом,110675,"352,11"
,,,,* SATINIQUE™ Лак для завершения формирования прически,116822,"220,14"
,,,,* SATINIQUE™ Спрей для волос,110685,"378,86"
,,,,* SATINIQUE™ Спрей для волос – двойная защита,110684,"406,04"
,,,,,,
,,* товары для путешествий,,,,
,,,* средства гигиены,,,
,,,,* HYMM Набор для путешествий 3х30 мл,266261,"297,07"
,,,,"* glister Зубная паста, дорожная упаковка 50 мл",1959,"59,11"
,,,,* Набор из 3 мини-упаковок жидких стиральных средств SA8 (3*250 мл),121121,"518,92"
,,,* сумки и емкости,,,
,,,,* ARTISTRY Дорожная сумка 1 шт.,117886,"3 449,68"
,,,,* bodykey by NUTRILITE™ Спортивная сумка,118823,"693,10"
,,,,* beautycycle Фирменная сумка,110701,"767,74"
,,,,* AMWAY HOME™ Большая фирменная сумка,112784,"181,74"
,,,,* TRAVEL TRIO™ Набор для путешествий (пустой),107211,"241,67"
,,,,,,
3.,Дом,,,,синий,
,,* товары для стирки,,,,
,,,* порошки,,,
,,,,* SA8™ Premium Концентрированный стиральный порошок (3 кг),109849,"768,98"
,,,,* SA8™ Premium Концентрированный стиральный порошок (1 кг),109848,"306,09"
,,,,* SA8™ Color Концентрированный порошок для стирки цветных тканей (3 кг),109850,"642,94"
,,,,* SA8™ Baby Концентрированный порошок для стирки детского белья (3 кг),109851,"710,94"
,,,* жидкие средства для стирки,,,
,,,,* SA8™ Жидкое концентрированное средство для стирки (4 л),110478,"1 390,92"
,,,,"* SA8™ Жидкое концентрированное средство для стирки (1,5 л)",110477,"607,84"
,,,,* AMWAY HOME™ SA8™ Концентрированное жидкое средство для стирки темной одежды (1 л),250508,"471,74"
,,,,* SA8™ Delicate Концентрированное жидкое средство для стирки деликатных тканей (1 л),110479,"363,26"
,,,,* Набор из 3 мини-упаковок жидких стиральных средств SA8 (3*250 мл),121121,"518,92"
,,,"* отбеливатели, для замачивания",,,
,,,,* SA8™ Универсальный отбеливатель (1 кг),110481,"318,06"
,,,,* SA8™ Универсальный отбеливатель (500 г),110534,"197,12"
,,,,* SA8™ Спрей предварительной очистки для выведения пятен (400 мл),110403,"234,16"
,,,,* SA8™ Tri-Zyme™ Средство для замачивания белья и выведения пятен (1 кг),110482,"399,61"
,,,* смягчители тканей,,,
,,,,* SA8™ Концентрированный смягчитель для тканей «Свежий воздух Альп» (1 л),109852,"205,47"
,,,,* SA8™ Концентрированный смягчитель для тканей «Цветущий сад» (1 л),110480,"205,47"
,,,,,,
,,* товары для уборки,,,,
,,,* универсальные,,,
,,,,* L.O.C.™ Мультифункциональный очиститель,0001,"185,42"
,,,,* L.O.C.™ Мягкое чистящее средство абразивного типа,110486,"185,82"
,,,,* ZOOM™ Концентрированный очиститель,117074,"183,63"
,,,,* AMWAY HOME™ L.O.C.™ Кухонные салфетки,107888,"460,25"
,,,* для особых поверхностей,,,
,,,,* L.O.C.™ Чистящее средство для ванной комнаты,117078,"133,94"
,,,,* L.O.C.™ Моющее средство для кухни,117079,"133,94"
,,,,* L.O.C.™ Чистящее средство для стекол,117080,"133,94"
,,,,* Чистящее средство для туалета,109864,"202,03"
,,,,* L.O.C. Plus SEE SPRAY™ Очиститель для стекла,8116,"201,60"
,,,,* AMWAY™ Очиститель для духовок,14,"216,89"
,,,,* L.O.C.™ Plus Очиститель для металлических изделий,112160,"141,31"
,,,,* Восковой полироль для мебели AMWAY™,100712,"146,00"
,,,,* AMWAY HOME™ GREEN MEADOWS™ Концентрированный освежитель воздуха и нейтрализатор запаха,8193,"152,85"
,,,,* L.O.C.™ Очищающие салфетки,110485,"388,67"
,,,,,,
,,* товары для мытья посуды,,,,
,,,* для ручного мытья,,,
,,,,* DISH DROPS™ Концентрированная жидкость для мытья посуды,110488,"213,30"
,,,,* DISH DROPS™ SCRUB BUDS™ Металлические губки,110490,"150,02"
,,,* для автоматической мойки,,,
,,,,* DISH DROPS™ Таблетки для автоматических посудомоечных машин,109867,"576,11"
,,,,* DISH DROPS™ Порошок для автоматических посудомоечных машин,110489,"398,91"
,,,,,,
,,* дозаторы и аппликаторы,,,,
,,,"* помпы, распылители",,,
,,,,* SA8 Помпа-дозатор для 4-литровых бутылок,1560,"234,85"
,,,,* AMWAY™ Помпа-дозатор для 1-литровых бутылок,103972,"38,32"
,,,,* AMWAY™ Распылитель пистолетного типа,110483,"82,73"
,,,* дозировочные емкости,,,
,,,,* AMWAY Пластиковый дозировочный флакон,110487,"75,14"
,,,,* AMWAY Диспенсерная емкость,5101,"27,48"
,,,,* AMWAY™ Мерный колпачок,5113,"52,79"
,,,* другое,,,
,,,,* AMWAY™ Сменный ролик для щетки,100718,"100,60"
,,,,* Клейкие этикетки средств для домашнего хозяйства,200013,"22,19"
,,,,,,
4.,Посуда и система очистки воды,,,,голубой,
,,* кухонная посуда,,,,
,,,* наборы,,,
,,,,* iCook™ Семейный набор,101097,"18 732,17"
,,,,* iCook™ Расширенный набор,101096,"12 294,83"
,,,,* iCook™ Основной набор,101094,"11 341,51"
,,,,* iCook™ Базовый набор,101095,"8 353,80"
,,,,* Набор из 6 предметов iCook™ Бистро ДЛЯ СЕРВИРОВКИ*,259808,"2 334,15"
,,,,"* iCook™ Family Prestige™ Набор ""Семейный престиж""",101098,"26 657,28"
,,,,* iCook Мини набор - 2 и 3-литровые кастрюли,200137,"5 515,70"
,,,,* iCook Посудины для смешивания,200343,"1 984,83"
,,,,* iCook Мини набор - Пароварка (набор),200139,"6 771,16"
,,,,* iCook Сотейники маленький и большой + выпуклая крышка,200341,"9 293,06"
,,,,* iCook Мини набор - Набор для приготовления пасты,200138,"8 009,83"
,,,,* iCook™ Набор из 5 ножей,102709,"6 411,60"
,,,,"* iCook™ Сковородки, не допускающие пригорания",101083,"6 711,12"
,,,* отдельные предметы,,,
,,,,* iCook Сковородка-ВОК,105084,"9 547,20"
,,,,"* iCook™ Сковородка, не допускающая пригорания",101087,"3 558,98"
,,,,* iCook Кастрюля 1л,200342,"2 884,45"
,,,,* iCook Нож Santoku,102710,"1 769,33"
,,,,* iCook Маленький Нож Petty,102712,"1 263,52"
,,,,* Многофункциональные кухонные ножницы iCook™,102715,"1 124,90"
,,,,* iCook Точилка для ножей и ножниц,102716,"839,57"
,,,"* ручки, крышки",,,
,,,,* iCook™ Рукоять для маленького сотейника,400135,"183,40"
,,,,* iCook™ Рукоять для большого сотейника,101791,"136,08"
,,,,* iCook™ Рукоять для 20- и 25-сантиметровых сковородок,400138,"186,95"
,,,,* iCook™ Круглая ручка с предохранителями для пальцев (для стеклянных крышек),400141,"225,35"
,,,,* iCook™ Круглая ручка с предохранителями для пальцев (для стальных крышек),400137,"165,74"
